type,geom_type,count,total_area,total_length
1,Polygon,33,1595617.0215046722,30806.775011084836
2,LineString,229,0.0,50722.53746958436
3,LineString,4,0.0,876.1283355923324
4,Polygon,31,3103877.3012552303,40151.74394372972
5,Polygon,4,62922.70083682008,2104.0259214011203
6,Polygon,4,705720.2580122793,5950.822915346842
7,Polygon,3,282504.5,3878.3982323133687
8,Polygon,10,432378.4391219471,8178.614484740867
9,Polygon,8,346455.6718642301,6312.649188691076
10,Polygon,1,36800.0,768.0
11,Polygon,4,90701.80722891568,2409.3574297188757
12,Polygon,6,106495.32168057768,3281.0676524135783
13,Point,128,0.0,0.0
