type,geom_type,count,total_area,total_length
1,Polygon,29,1119660.9900139463,25712.82352901567
2,LineString,207,0.0,44733.19402365574
3,LineString,1,0.0,250.0
4,Polygon,20,2683415.5,30360.91955408676
5,Polygon,4,55255.5,1997.2043127121078
6,Polygon,6,171480.89491102414,4213.822665827332
7,Polygon,2,246797.1905067566,2789.5426992466532
8,Polygon,12,182023.4038704042,6248.4069092031905
9,Polygon,6,166711.53937569325,4088.905192165644
10,Polygon,2,42558.20049281037,1243.5992213173013
11,Polygon,4,106151.31121828921,2623.258725203921
12,Polygon,6,93006.45962502225,3038.6535971856265
13,Point,111,0.0,0.0
